Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-2090.652	-2245.108	154.456	1.911143	4.326231	0.9897247
6	-2096.3	-2250.609	154.3098	1.829815	4.84714	1.058696
12	-2104.348	-2258.253	153.9044	1.978996	5.485012	1.133968
18	-2114.277	-2268.691	154.4138	1.978996	3.951017	1.083732
24	-2111.004	-2261.506	150.5022	1.283079	5.303549	3.813336
30	-2110.371	-2263.005	152.6342	1.384443	5.748668	2.409631
36	-2108.226	-2262.052	153.8264	1.577317	3.746408	1.892582
42	-2102.174	-2252.464	150.2903	1.18399	4.921245	4.051816
48	-2102.169	-2253.109	150.9399	0.9767103	3.21521	4.126017
54	-2097.66	-2247.906	150.2458	1.026534	3.882822	4.350561
60	-2099.619	-2249.992	150.3735	1.063339	3.236053	4.393129
66	-2101.411	-2252.257	150.8468	1.229395	3.827634	3.904076
72	-2107.851	-2259.408	151.5569	1.189016	3.072628	3.683877
78	-2099.622	-2250.286	150.6649	1.052306	3.95596	4.083986
84	-2108.073	-2258.675	150.6017	0.97461	4.389021	4.083986
90	-2105.685	-2256.35	150.6645	1.105118	4.604041	3.93595
96	-2099.612	-2249.327	149.7144	0.9940313	4.072113	4.631818
102	-2108.74	-2261.647	152.9074	1.473449	5.009852	2.303724
108	-2114.946	-2267.855	152.9094	1.540519	5.595047	2.15838
114	-2104.52	-2256.282	151.762	1.078766	3.869947	3.453047
120	-2109.824	-2260.175	150.3508	1.019557	4.865543	4.120096
126	-2109.801	-2260.874	151.0736	1.010626	4.223333	3.823323
132	-2106.15	-2256.758	150.6081	1.043811	5.335577	3.885073
138	-2107.783	-2259.39	151.6067	1.217024	4.829531	3.285427
144	-2113.703	-2264.776	151.0725	1.20792	5.154458	3.55015
150	-2109.733	-2259.634	149.9018	1.314209	5.660067	4.086188
156	-2092.21	-2243.578	151.3682	1.347809	4.747444	3.362809
162	-2102.666	-2254.684	152.0185	1.354349	3.745874	3.165261
168	-2096.262	-2248.124	151.8618	1.356843	5.162902	2.994875
174	-2096.879	-2249.917	153.0377	1.560375	4.921234	2.179989
180	-2086.967	-2239.107	152.1401	1.425342	5.629522	2.710017
186	-2099.071	-2249.443	150.3725	1.159828	4.098995	4.161957
192	-2094.84	-2246.164	151.3237	1.239334	5.093129	3.394918
198	-2091.669	-2242.882	151.213	1.317241	4.847413	3.454664
204	-2113.14	-2265.58	152.4396	1.373809	5.12728	2.639117
210	-2107.301	-2260.099	152.7981	1.492607	3.993578	2.55673
216	-2107.267	-2259.263	151.9952	1.453307	5.348774	2.825848
222	-2104.231	-2256.026	151.7958	1.331803	6.252596	2.884217
228	-2110.819	-2262.631	151.8125	1.438063	3.850113	3.216035
234	-2112.004	-2263.475	151.4708	1.346639	4.985744	3.262844
240	-2112.425	-2263.572	151.1464	1.235409	5.125534	3.495687
246	-2104.103	-2255.355	151.2517	1.222138	5.125534	3.44193
252	-2100.754	-2251.245	150.4909	1.134439	4.677839	4.005892
258	-2095.633	-2248.37	152.7372	1.435894	4.016046	2.624927
264	-2101.012	-2253.927	152.9144	1.457249	4.440204	2.415828
270	-2112.082	-2263.609	151.5276	1.197428	5.53974	3.229343
276	-2106.082	-2256.713	150.6309	1.17404	5.984673	3.702208
282	-2099.034	-2250.995	151.9606	1.228194	5.733038	2.923113
288	-2096.582	-2248.67	152.0884	1.347104	4.815655	2.923113
294	-2099.232	-2251.188	151.9565	1.396205	5.108829	2.923113
300	-2125.149	-2279.377	154.2277	1.928827	5.020655	0.9941851
306	-2115.311	-2269.778	154.4664	1.923962	4.440423	0.9281568
312	-2110.895	-2265.112	154.217	1.831472	5.181747	1.056321
318	-2096.888	-2251.04	154.1519	1.831472	5.181747	1.116617
324	-2082.399	-2236.003	153.6033	1.729752	5.870274	1.500556
330	-2081.033	-2234.953	153.9193	1.729752	4.837364	1.469261
336	-2079.127	-2232.823	153.6959	1.752484	5.224531	1.538565
342	-2081.495	-2235.379	153.884	1.742696	4.598617	1.538565
348	-2087.196	-2241.275	154.0794	1.881668	5.080414	1.161302
354	-2091.755	-2246.042	154.287	1.814439	4.274001	1.24598
360	-2106.541	-2260.883	154.3422	1.83497	4.578251	1.097539
366	-2118.095	-2272.51	154.4151	1.786392	3.839304	1.283006
372	-2092.912	-2244.426	151.5138	1.282268	5.26153	3.230682
378	-2086.541	-2238.512	151.9711	1.23158	4.135612	3.187384
384	-2091.24	-2244.365	153.1248	1.309959	4.249161	2.413961
390	-2083.723	-2236.076	152.3528	1.452285	6.967282	2.367014
